CODE_DEPT;site;gps_lat;gps_lng;POP
83;FREJUS;43.3975777;6.7119409;21
84;AVIGNON;43.9470042;4.8209596;93
85;LA ROCHE SUR YON;46.666570571992;-1.4227719526626998;1
86;POITIERS;46.582319359431;0.36695181494662;67
87;LIMOGES;45.8162774;1.2623048000000001;4
90;BELFORT;47.648731813472004;6.8375851295337;5
91;VILLABE;48.585040625;2.455778875;214
91;VIRY CHATILLON;48.669459019608;2.3692503921569;45
92;VANVES;48.82131096774201;2.2828435483871;51
93;NOISY LE GRAND;48.836000000000006;2.5656301834862;2
94;CRETEIL;48.780986382979;2.4546418085106;168
94;ARCUEIL;48.805286825397;2.3341507936507995;489
95;ERAGNY SUR OISE;49.021498235294;2.0999952941177;63
95;CERGY;49.0331671;2.0547221999999996;54
971;BAIE MAHAULT;16.246725699301;-61.588980506992996;67
